id,smiles_in,smiles_out,valid_out,exact_match,tanimoto,delta_atoms,delta_bonds
24,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,1,1,1.0,0,0
25,N#C/C(=C/c1ccc[nH]1)C(=O)O,N#C/C(=C/c1ccc[nH]1)C(=O)O,1,1,1.0,0,0
26,N#C/C(=C\c1ccc(O)cc1)C(=O)O,N#C/C(=C\c1ccc(O)cc1)C(=O)O,1,1,1.0,0,0
27,N#CC(C#N)=Cc1ccncc1,N#CC(C#N)=Cc1ccncc1,1,1,1.0,0,0
28,N#CC(C#N)=Cc1ccc(F)cc1,N#CC(C#N)=Cc1ccc(F)cc1,1,1,1.0,0,0
29,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,1,1,1.0,0,0
30,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1,1,1.0,0,0
31,CC(=C(C#N)C#N)c1ccc(N)cc1,CC(=C(C#N)C#N)c1ccc(N)cc1,1,1,1.0,0,0
32,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,1,1,1.0,0,0
33,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1,1,1.0,0,0
34,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1,1,1.0,0,0
35,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,1,1,1.0,0,0
36,N#CC(C#N)=CNc1ccc(O)cc1,N#CC(C#N)=CNc1ccc(O)cc1,1,1,1.0,0,0
37,O=CN/C=C/c1cc(O)ccc1O,O=CN/C=C/c1cc(O)ccc1O,1,1,1.0,0,0
38,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,1,1,1.0,0,0
39,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,1,1,1.0,0,0
40,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,1,1,1.0,0,0
41,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,1,1,1.0,0,0
42,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,1,1,1.0,0,0
43,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,1,1,1.0,0,0
44,COc1ccc(C=C(C#N)C#N)cc1O,COc1ccc(C=C(C#N)C#N)cc1O,1,1,1.0,0,0
45,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
46,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
47,Nc1ccc2ncnc(NCc3ccccc3)c2c1,Nc1ccc2ncnc(NCc3ccccc3)c2c1,1,1,1.0,0,0
48,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,1,1,1.0,0,0
49,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,1,1,1.0,0,0
50,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,1,1,1.0,0,0
51,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1,1,1.0,0,0
52,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1,1,1.0,0,0
53,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1,1,1.0,0,0
54,N#C/C(=C\c1ccc(F)cc1)C(=O)O,N#C/C(=C\c1ccc(F)cc1)C(=O)O,1,1,1.0,0,0
55,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,1,1,1.0,0,0
56,O=C(O)/C=C/c1ccc(O)c(O)c1,O=C(O)/C=C/c1ccc(O)c(O)c1,1,1,1.0,0,0
57,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
58,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
59,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
60,CN(c1ccccc1)c1ncnc2ccc(N)cc12,CN(c1ccccc1)c1ncnc2ccc(N)cc12,1,1,1.0,0,0
61,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,1,1,1.0,0,0
62,N#CC(C#N)=Cc1ccc(O)cc1,N#CC(C#N)=Cc1ccc(O)cc1,1,1,1.0,0,0
63,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,1,1,1.0,0,0
64,N#CC(C#N)Cc1ccc(O)cc1,N#CC(C#N)Cc1ccc(O)cc1,1,1,1.0,0,0
65,COc1ccc(C=C(C#N)C#N)cc1,COc1ccc(C=C(C#N)C#N)cc1,1,1,1.0,0,0
66,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,1,1,1.0,0,0
67,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,1,1,1.0,0,0
68,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,1,1,1.0,0,0
69,N#C/C(=C\c1ccc(O)cc1)C(N)=O,N#C/C(=C\c1ccc(O)cc1)C(N)=O,1,1,1.0,0,0
70,N#CC(C#N)=Cc1ccc(C=O)cc1,N#CC(C#N)=Cc1ccc(C=O)cc1,1,1,1.0,0,0
71,N#CC(C#N)=Cc1cc(O)cc(O)c1,N#CC(C#N)=Cc1cc(O)cc(O)c1,1,1,1.0,0,0
72,COc1ccc(/C=C(\C#N)C(=O)O)cc1,COc1ccc(/C=C(\C#N)C(=O)O)cc1,1,1,1.0,0,0
73,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
74,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
75,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
76,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,1,1,1.0,0,0
77,COc1cc(C=C(C#N)C#N)cc(O)c1O,COc1cc(C=C(C#N)C#N)cc(O)c1O,1,1,1.0,0,0
78,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1,1,1.0,0,0
79,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,1,1.0,0,0
80,COc1ccc(C(O)=C(C#N)C#N)cc1,COc1ccc(C(O)=C(C#N)C#N)cc1,1,1,1.0,0,0
81,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,1,1,1.0,0,0
82,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
83,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
84,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
85,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,1,1,1.0,0,0
86,N#CC(C#N)=NNc1ccc(O)cc1,N#CC(C#N)=NNc1ccc(O)cc1,1,1,1.0,0,0
87,N#CC(C#N)=Cc1ccc2c(c1)OCO2,N#CC(C#N)=Cc1ccc2c(c1)OCO2,1,1,1.0,0,0
88,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,1,1.0,0,0
89,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,1,1,1.0,0,0
90,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,1,1,1.0,0,0
91,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,1,1,1.0,0,0
92,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
93,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
94,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
95,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,1,1,1.0,0,0
96,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,1,1,1.0,0,0
97,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,1,1,1.0,0,0
98,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,1,1,1.0,0,0
99,N#CC(C#N)=Cc1cc[n+]([O-])cc1,N#CC(C#N)=Cc1cc[n+]([O-])cc1,1,1,1.0,0,0
100,COc1cc(C=C(C#N)C#N)ccc1O,COc1cc(C=C(C#N)C#N)ccc1O,1,1,1.0,0,0
101,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
102,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
103,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
104,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,1,1,1.0,0,0
105,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,1,1.0,0,0
106,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,1,1,1.0,0,0
107,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,1,1,1.0,0,0
108,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,1,1,1.0,0,0
109,N#C/C(=C\c1ccccc1)C(=O)O,N#C/C(=C\c1ccccc1)C(=O)O,1,1,1.0,0,0
110,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,1,1,1.0,0,0
111,N#CC(C#N)=Cc1ccc[nH]1,N#CC(C#N)=Cc1ccc[nH]1,1,1,1.0,0,0
112,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
113,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
114,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,1,1,1.0,0,0
115,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,1,1.0,0,0
116,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,1,1,1.0,0,0
117,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,1,1.0,0,0
118,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,1,1,1.0,0,0
119,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,1,1,1.0,0,0
120,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,1,1,1.0,0,0
121,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,1,1,1.0,0,0
122,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
123,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
124,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1,1,1.0,0,0
125,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,1,1,1.0,0,0
126,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,1,1,1.0,0,0
127,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,1,1,1.0,0,0
128,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,1,1,1.0,0,0
129,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,1,1,1.0,0,0
